Sample,total_reads,mapped_reads,percentage_aligned,10_x_pc,median_coverage,mean_coverage,median_insert_size,P25_Ins_size,avg_gc,Uncapped_Reads,Sub_Map_Pct_Aligned,Pct_Q30,sequenced_pool_component_id,search_id,coverage_gte_10_reads,fraction_acgt_bases,num_inserts_in_consensus,num_deletions_in_consensus,consensus_seq_name,assembly_method,timestamp,se_or_pe,seq_run,consensus_s3,trimmed_bam_s3,variants_s3,trimmed_bam_read_count,pi_metric,n_metric,bam_name,bjorn_coverage,bjorn_avg_depth,bjorn_min_coverage,bjorn_max_coverage,bjorn_num_w_zero_coverage,sample_collection_datetime,viral_load,collection_date,location
04_08_24_PLMAR31_R2__E0000000__X00__240415_NextSeq_WW__001,229242.0,229242.0,100.0,92.56261913520385,490.0,1115.173,205.0,148.0,42.57946159132332,19156878.0,1.197,94.896,04_08_24_PLMAR31_R2__E0000000__X00__240415_NextSeq_WW__001,04_08_24_PLMAR31_R2,0.8757531402117302,0.8757531402117302,3.0,35.0,Consensus_04_08_24_PLMAR31_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.pileup.consensus_threshold_0.5_quality_20,iVar version 1.3.1,2024-04-16_16-43-36,pe,240415_NextSeq_WW,s3://ucsd-all/240415_NextSeq_WW/240415_NextSeq_WW_results/2024-04-16_16-43-36_pe/240415_NextSeq_WW_samples/04_08_24_PLMAR31_R2__E0000000__X00__240415_NextSeq_WW__001/04_08_24_PLMAR31_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.pileup.consensus.fa,s3://ucsd-all/240415_NextSeq_WW/240415_NextSeq_WW_results/2024-04-16_16-43-36_pe/240415_NextSeq_WW_samples/04_08_24_PLMAR31_R2__E0000000__X00__240415_NextSeq_WW__001/04_08_24_PLMAR31_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.bam,s3://ucsd-all/240415_NextSeq_WW/240415_NextSeq_WW_results/2024-04-16_16-43-36_pe/240415_NextSeq_WW_samples/04_08_24_PLMAR31_R2__E0000000__X00__240415_NextSeq_WW__001/04_08_24_PLMAR31_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.pileup.variants.tsv,215138.0,0.0026651,84.0,04_08_24_PLMAR31_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.bam,87.4732,786.297,0.0,11414.0,1662.0,,,2024-03-31,Point Loma
04_08_24_PLAPR01_R2__E0000000__X00__240415_NextSeq_WW__001,294862.0,294862.0,100.0,96.61572417483195,702.0,1447.7768,214.0,149.0,41.97942633337173,16406264.0,1.797,94.105,04_08_24_PLAPR01_R2__E0000000__X00__240415_NextSeq_WW__001,04_08_24_PLAPR01_R2,0.933349218776594,0.933349218776594,3.0,35.0,Consensus_04_08_24_PLAPR01_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.pileup.consensus_threshold_0.5_quality_20,iVar version 1.3.1,2024-04-16_16-43-36,pe,240415_NextSeq_WW,s3://ucsd-all/240415_NextSeq_WW/240415_NextSeq_WW_results/2024-04-16_16-43-36_pe/240415_NextSeq_WW_samples/04_08_24_PLAPR01_R2__E0000000__X00__240415_NextSeq_WW__001/04_08_24_PLAPR01_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.pileup.consensus.fa,s3://ucsd-all/240415_NextSeq_WW/240415_NextSeq_WW_results/2024-04-16_16-43-36_pe/240415_NextSeq_WW_samples/04_08_24_PLAPR01_R2__E0000000__X00__240415_NextSeq_WW__001/04_08_24_PLAPR01_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.bam,s3://ucsd-all/240415_NextSeq_WW/240415_NextSeq_WW_results/2024-04-16_16-43-36_pe/240415_NextSeq_WW_samples/04_08_24_PLAPR01_R2__E0000000__X00__240415_NextSeq_WW__001/04_08_24_PLAPR01_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.pileup.variants.tsv,279626.0,0.00300975,82.0,04_08_24_PLAPR01_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.bam,93.2402,1030.77,0.0,14633.0,548.0,,,2024-04-01,Point Loma
04_08_24_PLAPR01_R2__E0000000__X00__240415_NextSeq_WW__001,294862.0,294862.0,100.0,96.61572417483195,702.0,1447.7768,214.0,149.0,41.97942633337173,16406264.0,1.797,94.105,04_08_24_PLAPR01_R2__E0000000__X00__240415_NextSeq_WW__001,04_08_24_PLAPR01_R2,0.933349218776594,0.933349218776594,3.0,35.0,Consensus_04_08_24_PLAPR01_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.pileup.consensus_threshold_0.5_quality_20,iVar version 1.3.1,2024-04-16_16-43-36,pe,240415_NextSeq_WW,s3://ucsd-all/240415_NextSeq_WW/240415_NextSeq_WW_results/2024-04-16_16-43-36_pe/240415_NextSeq_WW_samples/04_08_24_PLAPR01_R2__E0000000__X00__240415_NextSeq_WW__001/04_08_24_PLAPR01_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.pileup.consensus.fa,s3://ucsd-all/240415_NextSeq_WW/240415_NextSeq_WW_results/2024-04-16_16-43-36_pe/240415_NextSeq_WW_samples/04_08_24_PLAPR01_R2__E0000000__X00__240415_NextSeq_WW__001/04_08_24_PLAPR01_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.bam,s3://ucsd-all/240415_NextSeq_WW/240415_NextSeq_WW_results/2024-04-16_16-43-36_pe/240415_NextSeq_WW_samples/04_08_24_PLAPR01_R2__E0000000__X00__240415_NextSeq_WW__001/04_08_24_PLAPR01_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.pileup.variants.tsv,279626.0,0.00300975,82.0,,,,,,,,,2024-04-01,Point Loma
04_08_24_ENCAPR02_R1__E0000000__X00__240415_NextSeq_WW__001,115825.0,115825.0,100.0,86.57994181185835,178.0,564.891,214.0,149.0,42.31865741829298,11362562.0,1.019,94.61,04_08_24_ENCAPR02_R1__E0000000__X00__240415_NextSeq_WW__001,04_08_24_ENCAPR02_R1,0.781181917211329,0.781181917211329,2.0,35.0,Consensus_04_08_24_ENCAPR02_R1__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.pileup.consensus_threshold_0.5_quality_20,iVar version 1.3.1,2024-04-16_16-43-36,pe,240415_NextSeq_WW,s3://ucsd-all/240415_NextSeq_WW/240415_NextSeq_WW_results/2024-04-16_16-43-36_pe/240415_NextSeq_WW_samples/04_08_24_ENCAPR02_R1__E0000000__X00__240415_NextSeq_WW__001/04_08_24_ENCAPR02_R1__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.pileup.consensus.fa,s3://ucsd-all/240415_NextSeq_WW/240415_NextSeq_WW_results/2024-04-16_16-43-36_pe/240415_NextSeq_WW_samples/04_08_24_ENCAPR02_R1__E0000000__X00__240415_NextSeq_WW__001/04_08_24_ENCAPR02_R1__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.bam,s3://ucsd-all/240415_NextSeq_WW/240415_NextSeq_WW_results/2024-04-16_16-43-36_pe/240415_NextSeq_WW_samples/04_08_24_ENCAPR02_R1__E0000000__X00__240415_NextSeq_WW__001/04_08_24_ENCAPR02_R1__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.pileup.variants.tsv,109038.0,0.00240698,62.0,04_08_24_ENCAPR02_R1__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.bam,78.0407,405.625,0.0,6422.0,2624.0,,,2024-04-02,Encina
04_08_24_PLAPR02_R2__E0000000__X00__240415_NextSeq_WW__001,991363.0,991363.0,100.0,98.82620472862254,3184.0,4869.8869,219.0,149.0,41.580447590241626,41395562.0,2.395,94.208,04_08_24_PLAPR02_R2__E0000000__X00__240415_NextSeq_WW__001,04_08_24_PLAPR02_R2,0.9749132003540064,0.9749132003540064,18.0,49.0,Consensus_04_08_24_PLAPR02_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.pileup.consensus_threshold_0.5_quality_20,iVar version 1.3.1,2024-04-16_16-43-36,pe,240415_NextSeq_WW,s3://ucsd-all/240415_NextSeq_WW/240415_NextSeq_WW_results/2024-04-16_16-43-36_pe/240415_NextSeq_WW_samples/04_08_24_PLAPR02_R2__E0000000__X00__240415_NextSeq_WW__001/04_08_24_PLAPR02_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.pileup.consensus.fa,s3://ucsd-all/240415_NextSeq_WW/240415_NextSeq_WW_results/2024-04-16_16-43-36_pe/240415_NextSeq_WW_samples/04_08_24_PLAPR02_R2__E0000000__X00__240415_NextSeq_WW__001/04_08_24_PLAPR02_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.bam,s3://ucsd-all/240415_NextSeq_WW/240415_NextSeq_WW_results/2024-04-16_16-43-36_pe/240415_NextSeq_WW_samples/04_08_24_PLAPR02_R2__E0000000__X00__240415_NextSeq_WW__001/04_08_24_PLAPR02_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.pileup.variants.tsv,939366.0,0.00282964,92.0,04_08_24_PLAPR02_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.bam,97.358,3492.97,0.0,39150.0,240.0,,,2024-04-02,Point Loma
04_08_24_PLAPR02_R2__E0000000__X00__240415_NextSeq_WW__001,991363.0,991363.0,100.0,98.82620472862254,3184.0,4869.8869,219.0,149.0,41.580447590241626,41395562.0,2.395,94.208,04_08_24_PLAPR02_R2__E0000000__X00__240415_NextSeq_WW__001,04_08_24_PLAPR02_R2,0.9749132003540064,0.9749132003540064,18.0,49.0,Consensus_04_08_24_PLAPR02_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.pileup.consensus_threshold_0.5_quality_20,iVar version 1.3.1,2024-04-16_16-43-36,pe,240415_NextSeq_WW,s3://ucsd-all/240415_NextSeq_WW/240415_NextSeq_WW_results/2024-04-16_16-43-36_pe/240415_NextSeq_WW_samples/04_08_24_PLAPR02_R2__E0000000__X00__240415_NextSeq_WW__001/04_08_24_PLAPR02_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.pileup.consensus.fa,s3://ucsd-all/240415_NextSeq_WW/240415_NextSeq_WW_results/2024-04-16_16-43-36_pe/240415_NextSeq_WW_samples/04_08_24_PLAPR02_R2__E0000000__X00__240415_NextSeq_WW__001/04_08_24_PLAPR02_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.bam,s3://ucsd-all/240415_NextSeq_WW/240415_NextSeq_WW_results/2024-04-16_16-43-36_pe/240415_NextSeq_WW_samples/04_08_24_PLAPR02_R2__E0000000__X00__240415_NextSeq_WW__001/04_08_24_PLAPR02_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.pileup.variants.tsv,939366.0,0.00282964,92.0,,,,,,,,,2024-04-02,Point Loma
04_08_24_SBAPR02_R1__E0000000__X00__240415_NextSeq_WW__001,6336367.0,6336367.0,100.0,98.74928936895964,20757.0,31585.4871,220.0,150.0,41.20107957642501,48583558.0,13.041,93.433,04_08_24_SBAPR02_R1__E0000000__X00__240415_NextSeq_WW__001,04_08_24_SBAPR02_R1,0.9894822832635556,0.9894822832635556,17.0,47.0,Consensus_04_08_24_SBAPR02_R1__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.pileup.consensus_threshold_0.5_quality_20,iVar version 1.3.1,2024-04-16_16-43-36,pe,240415_NextSeq_WW,s3://ucsd-all/240415_NextSeq_WW/240415_NextSeq_WW_results/2024-04-16_16-43-36_pe/240415_NextSeq_WW_samples/04_08_24_SBAPR02_R1__E0000000__X00__240415_NextSeq_WW__001/04_08_24_SBAPR02_R1__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.pileup.consensus.fa,s3://ucsd-all/240415_NextSeq_WW/240415_NextSeq_WW_results/2024-04-16_16-43-36_pe/240415_NextSeq_WW_samples/04_08_24_SBAPR02_R1__E0000000__X00__240415_NextSeq_WW__001/04_08_24_SBAPR02_R1__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.bam,s3://ucsd-all/240415_NextSeq_WW/240415_NextSeq_WW_results/2024-04-16_16-43-36_pe/240415_NextSeq_WW_samples/04_08_24_SBAPR02_R1__E0000000__X00__240415_NextSeq_WW__001/04_08_24_SBAPR02_R1__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.pileup.variants.tsv,6103335.0,0.00243052,46.0,,,,,,,,,2024-04-02,South Bay
04_08_24_ENCAPR02_R1__E0000000__X00__240415_NextSeq_WW__001,115825.0,115825.0,100.0,86.57994181185835,178.0,564.891,214.0,149.0,42.31865741829298,11362562.0,1.019,94.61,04_08_24_ENCAPR02_R1__E0000000__X00__240415_NextSeq_WW__001,04_08_24_ENCAPR02_R1,0.781181917211329,0.781181917211329,2.0,35.0,Consensus_04_08_24_ENCAPR02_R1__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.pileup.consensus_threshold_0.5_quality_20,iVar version 1.3.1,2024-04-16_16-43-36,pe,240415_NextSeq_WW,s3://ucsd-all/240415_NextSeq_WW/240415_NextSeq_WW_results/2024-04-16_16-43-36_pe/240415_NextSeq_WW_samples/04_08_24_ENCAPR02_R1__E0000000__X00__240415_NextSeq_WW__001/04_08_24_ENCAPR02_R1__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.pileup.consensus.fa,s3://ucsd-all/240415_NextSeq_WW/240415_NextSeq_WW_results/2024-04-16_16-43-36_pe/240415_NextSeq_WW_samples/04_08_24_ENCAPR02_R1__E0000000__X00__240415_NextSeq_WW__001/04_08_24_ENCAPR02_R1__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.bam,s3://ucsd-all/240415_NextSeq_WW/240415_NextSeq_WW_results/2024-04-16_16-43-36_pe/240415_NextSeq_WW_samples/04_08_24_ENCAPR02_R1__E0000000__X00__240415_NextSeq_WW__001/04_08_24_ENCAPR02_R1__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.pileup.variants.tsv,109038.0,0.00240698,62.0,,,,,,,,,2024-04-02,Encina
04_08_24_SBAPR02_R1__E0000000__X00__240415_NextSeq_WW__001,6336367.0,6336367.0,100.0,98.74928936895964,20757.0,31585.4871,220.0,150.0,41.20107957642501,48583558.0,13.041,93.433,04_08_24_SBAPR02_R1__E0000000__X00__240415_NextSeq_WW__001,04_08_24_SBAPR02_R1,0.9894822832635556,0.9894822832635556,17.0,47.0,Consensus_04_08_24_SBAPR02_R1__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.pileup.consensus_threshold_0.5_quality_20,iVar version 1.3.1,2024-04-16_16-43-36,pe,240415_NextSeq_WW,s3://ucsd-all/240415_NextSeq_WW/240415_NextSeq_WW_results/2024-04-16_16-43-36_pe/240415_NextSeq_WW_samples/04_08_24_SBAPR02_R1__E0000000__X00__240415_NextSeq_WW__001/04_08_24_SBAPR02_R1__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.pileup.consensus.fa,s3://ucsd-all/240415_NextSeq_WW/240415_NextSeq_WW_results/2024-04-16_16-43-36_pe/240415_NextSeq_WW_samples/04_08_24_SBAPR02_R1__E0000000__X00__240415_NextSeq_WW__001/04_08_24_SBAPR02_R1__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.bam,s3://ucsd-all/240415_NextSeq_WW/240415_NextSeq_WW_results/2024-04-16_16-43-36_pe/240415_NextSeq_WW_samples/04_08_24_SBAPR02_R1__E0000000__X00__240415_NextSeq_WW__001/04_08_24_SBAPR02_R1__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.pileup.variants.tsv,6103335.0,0.00243052,46.0,04_08_24_SBAPR02_R1__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.bam,98.8371,23283.1,0.0,316739.0,198.0,,,2024-04-02,South Bay
04_08_24_PLAPR03_R2__E0000000__X00__240415_NextSeq_WW__001,293819.0,293819.0,100.0,94.39521118282448,567.0,1424.6492,150.0,147.0,42.82815022815021,27711596.0,1.06,94.581,04_08_24_PLAPR03_R2__E0000000__X00__240415_NextSeq_WW__001,04_08_24_PLAPR03_R2,0.8962382978723404,0.8962382978723404,2.0,36.0,Consensus_04_08_24_PLAPR03_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.pileup.consensus_threshold_0.5_quality_20,iVar version 1.3.1,2024-04-16_16-43-36,pe,240415_NextSeq_WW,s3://ucsd-all/240415_NextSeq_WW/240415_NextSeq_WW_results/2024-04-16_16-43-36_pe/240415_NextSeq_WW_samples/04_08_24_PLAPR03_R2__E0000000__X00__240415_NextSeq_WW__001/04_08_24_PLAPR03_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.pileup.consensus.fa,s3://ucsd-all/240415_NextSeq_WW/240415_NextSeq_WW_results/2024-04-16_16-43-36_pe/240415_NextSeq_WW_samples/04_08_24_PLAPR03_R2__E0000000__X00__240415_NextSeq_WW__001/04_08_24_PLAPR03_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.bam,s3://ucsd-all/240415_NextSeq_WW/240415_NextSeq_WW_results/2024-04-16_16-43-36_pe/240415_NextSeq_WW_samples/04_08_24_PLAPR03_R2__E0000000__X00__240415_NextSeq_WW__001/04_08_24_PLAPR03_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.pileup.variants.tsv,275603.0,0.00266599,88.0,,,,,,,,,2024-04-03,Point Loma
04_08_24_PLAPR03_R2__E0000000__X00__240415_NextSeq_WW__001,293819.0,293819.0,100.0,94.39521118282448,567.0,1424.6492,150.0,147.0,42.82815022815021,27711596.0,1.06,94.581,04_08_24_PLAPR03_R2__E0000000__X00__240415_NextSeq_WW__001,04_08_24_PLAPR03_R2,0.8962382978723404,0.8962382978723404,2.0,36.0,Consensus_04_08_24_PLAPR03_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.pileup.consensus_threshold_0.5_quality_20,iVar version 1.3.1,2024-04-16_16-43-36,pe,240415_NextSeq_WW,s3://ucsd-all/240415_NextSeq_WW/240415_NextSeq_WW_results/2024-04-16_16-43-36_pe/240415_NextSeq_WW_samples/04_08_24_PLAPR03_R2__E0000000__X00__240415_NextSeq_WW__001/04_08_24_PLAPR03_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.pileup.consensus.fa,s3://ucsd-all/240415_NextSeq_WW/240415_NextSeq_WW_results/2024-04-16_16-43-36_pe/240415_NextSeq_WW_samples/04_08_24_PLAPR03_R2__E0000000__X00__240415_NextSeq_WW__001/04_08_24_PLAPR03_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.bam,s3://ucsd-all/240415_NextSeq_WW/240415_NextSeq_WW_results/2024-04-16_16-43-36_pe/240415_NextSeq_WW_samples/04_08_24_PLAPR03_R2__E0000000__X00__240415_NextSeq_WW__001/04_08_24_PLAPR03_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.pileup.variants.tsv,275603.0,0.00266599,88.0,04_08_24_PLAPR03_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.bam,89.5236,986.618,0.0,18377.0,1213.0,,,2024-04-03,Point Loma
04_08_24_SBAPR04_R2__E0000000__X00__240415_NextSeq_WW__001,920068.0,920068.0,100.0,97.7326689629803,2517.0,4553.5476,220.0,150.0,42.01737508445202,21522470.0,4.275,93.659,04_08_24_SBAPR04_R2__E0000000__X00__240415_NextSeq_WW__001,04_08_24_SBAPR04_R2,0.963681541236938,0.963681541236938,17.0,47.0,Consensus_04_08_24_SBAPR04_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.pileup.consensus_threshold_0.5_quality_20,iVar version 1.3.1,2024-04-16_16-43-36,pe,240415_NextSeq_WW,s3://ucsd-all/240415_NextSeq_WW/240415_NextSeq_WW_results/2024-04-16_16-43-36_pe/240415_NextSeq_WW_samples/04_08_24_SBAPR04_R2__E0000000__X00__240415_NextSeq_WW__001/04_08_24_SBAPR04_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.pileup.consensus.fa,s3://ucsd-all/240415_NextSeq_WW/240415_NextSeq_WW_results/2024-04-16_16-43-36_pe/240415_NextSeq_WW_samples/04_08_24_SBAPR04_R2__E0000000__X00__240415_NextSeq_WW__001/04_08_24_SBAPR04_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.bam,s3://ucsd-all/240415_NextSeq_WW/240415_NextSeq_WW_results/2024-04-16_16-43-36_pe/240415_NextSeq_WW_samples/04_08_24_SBAPR04_R2__E0000000__X00__240415_NextSeq_WW__001/04_08_24_SBAPR04_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.pileup.variants.tsv,880960.0,0.00246126,62.0,,,,,,,,,2024-04-04,South Bay
04_08_24_SBAPR04_R2__E0000000__X00__240415_NextSeq_WW__001,920068.0,920068.0,100.0,97.7326689629803,2517.0,4553.5476,220.0,150.0,42.01737508445202,21522470.0,4.275,93.659,04_08_24_SBAPR04_R2__E0000000__X00__240415_NextSeq_WW__001,04_08_24_SBAPR04_R2,0.963681541236938,0.963681541236938,17.0,47.0,Consensus_04_08_24_SBAPR04_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.pileup.consensus_threshold_0.5_quality_20,iVar version 1.3.1,2024-04-16_16-43-36,pe,240415_NextSeq_WW,s3://ucsd-all/240415_NextSeq_WW/240415_NextSeq_WW_results/2024-04-16_16-43-36_pe/240415_NextSeq_WW_samples/04_08_24_SBAPR04_R2__E0000000__X00__240415_NextSeq_WW__001/04_08_24_SBAPR04_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.pileup.consensus.fa,s3://ucsd-all/240415_NextSeq_WW/240415_NextSeq_WW_results/2024-04-16_16-43-36_pe/240415_NextSeq_WW_samples/04_08_24_SBAPR04_R2__E0000000__X00__240415_NextSeq_WW__001/04_08_24_SBAPR04_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.bam,s3://ucsd-all/240415_NextSeq_WW/240415_NextSeq_WW_results/2024-04-16_16-43-36_pe/240415_NextSeq_WW_samples/04_08_24_SBAPR04_R2__E0000000__X00__240415_NextSeq_WW__001/04_08_24_SBAPR04_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.pileup.variants.tsv,880960.0,0.00246126,62.0,04_08_24_SBAPR04_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.bam,96.246,3318.0,0.0,60918.0,469.0,,,2024-04-04,South Bay
04_08_24_ENCAPR05_R2__E0000000__X00__240415_NextSeq_WW__001,498111.0,498111.0,100.0,97.44507240076248,1298.0,2448.5693,217.0,150.0,42.29371906910796,27080690.0,1.839,94.273,04_08_24_ENCAPR05_R2__E0000000__X00__240415_NextSeq_WW__001,04_08_24_ENCAPR05_R2,0.9562938253114576,0.9562938253114576,17.0,48.0,Consensus_04_08_24_ENCAPR05_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.pileup.consensus_threshold_0.5_quality_20,iVar version 1.3.1,2024-04-16_16-43-36,pe,240415_NextSeq_WW,s3://ucsd-all/240415_NextSeq_WW/240415_NextSeq_WW_results/2024-04-16_16-43-36_pe/240415_NextSeq_WW_samples/04_08_24_ENCAPR05_R2__E0000000__X00__240415_NextSeq_WW__001/04_08_24_ENCAPR05_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.pileup.consensus.fa,s3://ucsd-all/240415_NextSeq_WW/240415_NextSeq_WW_results/2024-04-16_16-43-36_pe/240415_NextSeq_WW_samples/04_08_24_ENCAPR05_R2__E0000000__X00__240415_NextSeq_WW__001/04_08_24_ENCAPR05_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.bam,s3://ucsd-all/240415_NextSeq_WW/240415_NextSeq_WW_results/2024-04-16_16-43-36_pe/240415_NextSeq_WW_samples/04_08_24_ENCAPR05_R2__E0000000__X00__240415_NextSeq_WW__001/04_08_24_ENCAPR05_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.pileup.variants.tsv,471256.0,0.00253599,74.0,,,,,,,,,2024-04-05,Encina
04_08_24_ENCAPR05_R2__E0000000__X00__240415_NextSeq_WW__001,498111.0,498111.0,100.0,97.44507240076248,1298.0,2448.5693,217.0,150.0,42.29371906910796,27080690.0,1.839,94.273,04_08_24_ENCAPR05_R2__E0000000__X00__240415_NextSeq_WW__001,04_08_24_ENCAPR05_R2,0.9562938253114576,0.9562938253114576,17.0,48.0,Consensus_04_08_24_ENCAPR05_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.pileup.consensus_threshold_0.5_quality_20,iVar version 1.3.1,2024-04-16_16-43-36,pe,240415_NextSeq_WW,s3://ucsd-all/240415_NextSeq_WW/240415_NextSeq_WW_results/2024-04-16_16-43-36_pe/240415_NextSeq_WW_samples/04_08_24_ENCAPR05_R2__E0000000__X00__240415_NextSeq_WW__001/04_08_24_ENCAPR05_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.pileup.consensus.fa,s3://ucsd-all/240415_NextSeq_WW/240415_NextSeq_WW_results/2024-04-16_16-43-36_pe/240415_NextSeq_WW_samples/04_08_24_ENCAPR05_R2__E0000000__X00__240415_NextSeq_WW__001/04_08_24_ENCAPR05_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.bam,s3://ucsd-all/240415_NextSeq_WW/240415_NextSeq_WW_results/2024-04-16_16-43-36_pe/240415_NextSeq_WW_samples/04_08_24_ENCAPR05_R2__E0000000__X00__240415_NextSeq_WW__001/04_08_24_ENCAPR05_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.pileup.variants.tsv,471256.0,0.00253599,74.0,04_08_24_ENCAPR05_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.bam,95.4946,1770.31,0.0,23719.0,939.0,,,2024-04-05,Encina
4_15_24_PLAPR07_R2__E0000000__X00__240420_NextSeq_WW__001,41328.0,41328.0,100.0,61.8600140454135,29.0,197.7186,149.0,141.0,45.31357615894039,5017766.0,0.824,95.242,4_15_24_PLAPR07_R2__E0000000__X00__240420_NextSeq_WW__001,4_15_24_PLAPR07_R2,0.505290735259093,0.5048484229866286,1.0,19.0,Consensus_4_15_24_PLAPR07_R2__E0000000__X00__240420_NextSeq_WW__001.trimmed.sorted.pileup.consensus_threshold_0.5_quality_20,iVar version 1.3.1,2024-04-22_17-59-10,pe,240420_NextSeq_WW,s3://ucsd-all/240420_NextSeq_WW/240420_NextSeq_WW_results/2024-04-22_17-59-10_pe/240420_NextSeq_WW_samples/4_15_24_PLAPR07_R2__E0000000__X00__240420_NextSeq_WW__001/4_15_24_PLAPR07_R2__E0000000__X00__240420_NextSeq_WW__001.trimmed.sorted.pileup.consensus.fa,s3://ucsd-all/240420_NextSeq_WW/240420_NextSeq_WW_results/2024-04-22_17-59-10_pe/240420_NextSeq_WW_samples/4_15_24_PLAPR07_R2__E0000000__X00__240420_NextSeq_WW__001/4_15_24_PLAPR07_R2__E0000000__X00__240420_NextSeq_WW__001.trimmed.sorted.bam,s3://ucsd-all/240420_NextSeq_WW/240420_NextSeq_WW_results/2024-04-22_17-59-10_pe/240420_NextSeq_WW_samples/4_15_24_PLAPR07_R2__E0000000__X00__240420_NextSeq_WW__001/4_15_24_PLAPR07_R2__E0000000__X00__240420_NextSeq_WW__001.trimmed.sorted.pileup.variants.tsv,38680.0,0.00336852,43.0,4_15_24_PLAPR07_R2__E0000000__X00__240420_NextSeq_WW__001.trimmed.sorted.bam,50.4539,125.033,0.0,3632.0,9929.0,,,2024-04-07,Point Loma
