Sample,total_reads,mapped_reads,percentage_aligned,10_x_pc,median_coverage,mean_coverage,median_insert_size,P25_Ins_size,avg_gc,Uncapped_Reads,Sub_Map_Pct_Aligned,Pct_Q30,sequenced_pool_component_id,search_id,coverage_gte_10_reads,fraction_acgt_bases,num_inserts_in_consensus,num_deletions_in_consensus,consensus_seq_name,assembly_method,timestamp,se_or_pe,seq_run,consensus_s3,trimmed_bam_s3,variants_s3,trimmed_bam_read_count,pi_metric,n_metric,bam_name,bjorn_coverage,bjorn_avg_depth,bjorn_min_coverage,bjorn_max_coverage,bjorn_num_w_zero_coverage,sample_collection_datetime,viral_load,collection_date,location
2.03.23.PLJAN29.R1__NA__NA__230303_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/29/23,,2023-01-29,Point Loma
2.03.23.PLJAN29.R1__NA__NA__230203_reanalysis_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/29/23,,2023-01-29,Point Loma
1.31.23.ENCJAN30.R2__NA__NA__230203_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/30/23,,2023-01-30,Encina
2.03.23.PLJAN30.R1__NA__NA__230203_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/30/23,,2023-01-30,Point Loma
2.03.23.SBJAN31.R2__NA__NA__230203_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/31/23,,2023-01-31,South Bay
2.03.23.PLJAN31.R1__NA__NA__230203_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/31/23,,2023-01-31,Point Loma
2.07.23.ENCFEB01.R1__NA__NA__230210_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/01/23 ,,2023-02-01,Encina
2.03.23.PLFEB01.R1__NA__NA__230203_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/01/23,,2023-02-01,Point Loma
2.07.23.ENCFEB02.R1__NA__NA__230210_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/02/23,,2023-02-02,Encina
2.10.23.SBFEB02.R1__NA__NA__230210_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/02/23,,2023-02-02,South Bay
2.09.23.PLFEB05.R1__NA__NA__230210_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/05/23,,2023-02-05,Point Loma
2.10.23.SBFEB05.R1__NA__NA__230210_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/05/23,,2023-02-05,South Bay
2.09.23.PLFEB06.R1__NA__NA__230210_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/06/23,,2023-02-06,Point Loma
2.10.23.SBFEB07.R1__NA__NA__230210_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/07/23,,2023-02-07,South Bay
2.14.23.ENCFEB08.rerun__NA__NA__230224_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/08/23 ,,2023-02-08,Encina
2.14.23.ENCFEB08.R2__NA__NA__230217_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/08/23 ,,2023-02-08,Encina
2.14.23.ENCFEB10.rerun__NA__NA__230224_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/10/23,,2023-02-10,Encina
2.14.23.ENCFEB10.R2__NA__NA__230217_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/10/23,,2023-02-10,Encina
2.17.23.SBFEB12.R2__NA__NA__230217_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/12/23,,2023-02-12,South Bay
2.17.23.SBFEB12.rerun__NA__NA__230224_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/12/23,,2023-02-12,South Bay
2.15.23.PLFEB12.rerun__NA__NA__230224_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/12/23,,2023-02-12,Point Loma
2.15.23.PLFEB12.R2__NA__NA__230217_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/12/23,,2023-02-12,Point Loma
2.15.23.PLFEB13.R1__NA__NA__230217_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/13/23,,2023-02-13,Point Loma
2.15.23.PLFEB13.rerun__NA__NA__230224_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/13/23,,2023-02-13,Point Loma
