Sample,Collection_Date,Location
4_15_24_PLAPR07_R2__E0000000__X00__240420_NextSeq_WW__001.sorted.bam,2024-04-07,Point Loma
4_15_24_PLAPR07__E0000000__X00__240418_WW_SG__001.sorted.bam,2024-04-07,Point Loma
4_15_24_PLAPR08_R1__E0000000__X00__240420_NextSeq_WW__001.sorted.bam,2024-04-08,Point Loma
4_15_24_PLAPR08__E0000000__X00__240418_WW_SG__001,2024-04-08,Point Loma
4_15_24_PLAPR08_R1__E0000000__X00__240420_NextSeq_WW__001,2024-04-08,Point Loma
4_15_24_PLAPR08__E0000000__X00__240418_WW_SG__001.sorted.bam,2024-04-08,Point Loma
4_15_24_SBAPR09__E0000000__X00__240418_WW_SG__001,2024-04-09,South Bay
4_15_24_PLAPR09_R2__E0000000__X00__240420_NextSeq_WW__001,2024-04-09,Point Loma
4_15_24_SBAPR09_R2__E0000000__X00__240420_NextSeq_WW__001,2024-04-09,South Bay
4_15_24_PLAPR09__E0000000__X00__240418_WW_SG__001.sorted.bam,2024-04-09,Point Loma
4_15_24_SBAPR09__E0000000__X00__240418_WW_SG__001.sorted.bam,2024-04-09,South Bay
4_15_24_SBAPR09_R2__E0000000__X00__240420_NextSeq_WW__001.sorted.bam,2024-04-09,South Bay
4_15_24_PLAPR09__E0000000__X00__240418_WW_SG__001,2024-04-09,Point Loma
4_15_24_PLAPR09_R2__E0000000__X00__240420_NextSeq_WW__001.sorted.bam,2024-04-09,Point Loma
4_15_24_PLAPR10_R1__E0000000__X00__240420_NextSeq_WW__001,2024-04-10,Point Loma
4_15_24_ENCAPR10_R2__E0000000__X00__240420_NextSeq_WW__001.sorted.bam,2024-04-10,Encina
4_15_24_ENCAPR10_R2__E0000000__X00__240420_NextSeq_WW__001,2024-04-10,Encina
4_15_24_ENCAPR10__E0000000__X00__240418_WW_SG__001,2024-04-10,Encina
4_15_24_PLAPR10__E0000000__X00__240418_WW_SG__001,2024-04-10,Point Loma
4_15_24_ENCAPR10__E0000000__X00__240418_WW_SG__001.sorted.bam,2024-04-10,Encina
4_15_24_PLAPR10_R1__E0000000__X00__240420_NextSeq_WW__001.sorted.bam,2024-04-10,Point Loma
4_15_24_PLAPR10__E0000000__X00__240418_WW_SG__001.sorted.bam,2024-04-10,Point Loma
4_15_24_SBAPR11_R2__E0000000__X00__240420_NextSeq_WW__001.sorted.bam,2024-04-11,South Bay
4_15_24_ENCAPR11_R1__E0000000__X00__240420_NextSeq_WW__001.sorted.bam,2024-04-11,Encina
4_15_24_SBAPR11_R2__E0000000__X00__240420_NextSeq_WW__001,2024-04-11,South Bay
4_15_24_ENCAPR11_R1__E0000000__X00__240420_NextSeq_WW__001,2024-04-11,Encina
4_15_24_SBAPR11__E0000000__X00__240418_WW_SG__001.sorted.bam,2024-04-11,South Bay
4_15_24_SBAPR11__E0000000__X00__240418_WW_SG__001,2024-04-11,South Bay
4_15_24_ENCAPR11__E0000000__X00__240418_WW_SG__001,2024-04-11,Encina
4_15_24_ENCAPR11__E0000000__X00__240418_WW_SG__001.sorted.bam,2024-04-11,Encina
04_22_24_PLAPR14_R2__E0000000__X00__240429_NextSeq_WW__001.sorted.bam,2024-04-14,Point Loma
04_22_24_PLAPR14_R2__E0000000__X00__240429_NextSeq_WW__001,2024-04-14,Point Loma
04_22_24_PLAPR15_R1__E0000000__X00__240429_NextSeq_WW__001.sorted.bam,2024-04-15,Point Loma
04_22_24_PLAPR15_R1__E0000000__X00__240429_NextSeq_WW__001,2024-04-15,Point Loma
04_22_24_PLAPR16_R1__E0000000__X00__240429_NextSeq_WW__001.sorted.bam,2024-04-16,Point Loma
04_22_24_ENCAPR16_R1__E0000000__X00__240429_NextSeq_WW__001,2024-04-16,Encina
04_22_24_PLAPR16_R1__E0000000__X00__240429_NextSeq_WW__001,2024-04-16,Point Loma
04_22_24_SBAPR16_R1__E0000000__X00__240429_NextSeq_WW__001,2024-04-16,South Bay
04_22_24_ENCAPR16_R1__E0000000__X00__240429_NextSeq_WW__001.sorted.bam,2024-04-16,Encina
04_22_24_SBAPR16_R1__E0000000__X00__240429_NextSeq_WW__001.sorted.bam,2024-04-16,South Bay
04_22_24_PLAPR17_R2__E0000000__X00__240429_NextSeq_WW__001,2024-04-17,Point Loma
04_22_24_PLAPR17_R2__E0000000__X00__240429_NextSeq_WW__001.sorted.bam,2024-04-17,Point Loma
04_22_24_SBAPR18_R1__E0000000__X00__240429_NextSeq_WW__001,2024-04-18,South Bay
04_22_24_ENCAPR18_R1__E0000000__X00__240429_NextSeq_WW__001,2024-04-18,Encina
04_22_24_SBAPR18_R1__E0000000__X00__240429_NextSeq_WW__001.sorted.bam,2024-04-18,South Bay
04_22_24_ENCAPR18_R1__E0000000__X00__240429_NextSeq_WW__001.sorted.bam,2024-04-18,Encina
04_29_24_PLAPR21_R1__E0000000__X00__240509_NextSeq_WW__001.sorted.bam,2024-04-21,Point Loma
04_29_24_PLAPR21_R1__E0000000__X00__240509_NextSeq_WW__001,2024-04-21,Point Loma
04_29_24_PLAPR22_R1__E0000000__X00__240509_NextSeq_WW__001,2024-04-22,Point Loma
04_29_24_PLAPR22_R1__E0000000__X00__240509_NextSeq_WW__001.sorted.bam,2024-04-22,Point Loma
04_29_24_PLAPR23_R1__E0000000__X00__240509_NextSeq_WW__001,2024-04-23,Point Loma
04_29_24_PLAPR23_R1__E0000000__X00__240509_NextSeq_WW__001.sorted.bam,2024-04-23,Point Loma
04_29_24_PLAPR24_R1__E0000000__X00__240509_NextSeq_WW__001,2024-04-24,Point Loma
04_29_24_PLAPR24_R1__E0000000__X00__240509_NextSeq_WW__001.sorted.bam,2024-04-24,Point Loma
04_29_24_SBAPR25_R1__E0000000__X00__240509_NextSeq_WW__001.sorted.bam,2024-04-25,South Bay
04_29_24_ENCAPR25_R2__E0000000__X00__240509_NextSeq_WW__001,2024-04-25,Encina
04_29_24_SBAPR25_R1__E0000000__X00__240509_NextSeq_WW__001,2024-04-25,South Bay
04_29_24_ENCAPR25_R2__E0000000__X00__240509_NextSeq_WW__001.sorted.bam,2024-04-25,Encina
04_29_24_ENCAPR26_R2__E0000000__X00__240509_NextSeq_WW__001.sorted.bam,2024-04-26,Encina
04_29_24_ENCAPR26_R2__E0000000__X00__240509_NextSeq_WW__001,2024-04-26,Encina
04_29_24_SBAPR28_R1__E0000000__X00__240509_NextSeq_WW__001.sorted.bam,2024-04-28,South Bay
04_29_24_SBAPR28_R1__E0000000__X00__240509_NextSeq_WW__001,2024-04-28,South Bay
05_06_24_PLAPR28_R1__E0000000__X00__240512_NextSeq_WW__001,2024-04-28,Point Loma
05_06_24_PLAPR28_R1__E0000000__X00__240512_NextSeq_WW__001.sorted.bam,2024-04-28,Point Loma
05_06_24_ENCAPR29_R2__E0000000__X00__240512_NextSeq_WW__001,2024-04-29,Encina
05_06_24_PLAPR29_R2__E0000000__X00__240512_NextSeq_WW__001,2024-04-29,Point Loma
05_06_24_PLAPR29_R2__E0000000__X00__240512_NextSeq_WW__001.sorted.bam,2024-04-29,Point Loma
05_06_24_ENCAPR29_R2__E0000000__X00__240512_NextSeq_WW__001.sorted.bam,2024-04-29,Encina
05_06_24_SBAPR30_R2__E0000000__X00__240512_NextSeq_WW__001.sorted.bam,2024-04-30,South Bay
05_06_24_SBAPR30_R2__E0000000__X00__240512_NextSeq_WW__001,2024-04-30,South Bay
05_06_24_PLAPR30_R1__E0000000__X00__240512_NextSeq_WW__001.sorted.bam,2024-04-30,Point Loma
05_06_24_PLAPR30_R1__E0000000__X00__240512_NextSeq_WW__001,2024-04-30,Point Loma
05_06_24_PLMAY01_R2__E0000000__X00__240512_NextSeq_WW__001.sorted.bam,2024-05-01,Point Loma
05_06_24_ENCMAY01_R1__E0000000__X00__240512_NextSeq_WW__001,2024-05-01,Encina
05_06_24_ENCMAY01_R1__E0000000__X00__240512_NextSeq_WW__001.sorted.bam,2024-05-01,Encina
05_06_24_PLMAY01_R2__E0000000__X00__240512_NextSeq_WW__001,2024-05-01,Point Loma
05_06_24_SBMAY02_R1__E0000000__X00__240512_NextSeq_WW__001.sorted.bam,2024-05-02,South Bay
05_06_24_SBMAY02_R1__E0000000__X00__240512_NextSeq_WW__001,2024-05-02,South Bay
05_13_24_PLMAY05_R2__E0000000__X00__240518_NextSeq_WW__001,2024-05-05,Point Loma
05_13_24_PLMAY05_R2__E0000000__X00__240518_NextSeq_WW__001.sorted.bam,2024-05-05,Point Loma
05_13_24_PLMAY06_R1__E0000000__X00__240518_NextSeq_WW__001.sorted.bam,2024-05-06,Point Loma
05_13_24_ENCMAY06_R1__E0000000__X00__240518_NextSeq_WW__001.sorted.bam,2024-05-06,Encina
05_13_24_PLMAY06_R1__E0000000__X00__240518_NextSeq_WW__001,2024-05-06,Point Loma
05_13_24_ENCMAY06_R1__E0000000__X00__240518_NextSeq_WW__001,2024-05-06,Encina
05_13_24_PLMAY07_R1__E0000000__X00__240518_NextSeq_WW__001,2024-05-07,Point Loma
05_13_24_PLMAY07_R1__E0000000__X00__240518_NextSeq_WW__001.sorted.bam,2024-05-07,Point Loma
05_13_24_PLMAY08_R1__E0000000__X00__240518_NextSeq_WW__001.sorted.bam,2024-05-08,Point Loma
05_13_24_PLMAY08_R1__E0000000__X00__240518_NextSeq_WW__001,2024-05-08,Point Loma
05_13_24_SBMAY09_R2__E0000000__X00__240518_NextSeq_WW__001.sorted.bam,2024-05-09,South Bay
05_13_24_SBMAY09_R2__E0000000__X00__240518_NextSeq_WW__001,2024-05-09,South Bay
05_13_24_ENCMAY09_R2__E0000000__X00__240518_NextSeq_WW__001,2024-05-09,Encina
05_13_24_ENCMAY09_R2__E0000000__X00__240518_NextSeq_WW__001.sorted.bam,2024-05-09,Encina
05_13_24_SBMAY12_R2__E0000000__X00__240518_NextSeq_WW__001,2024-05-12,South Bay
05_13_24_SBMAY12_R2__E0000000__X00__240518_NextSeq_WW__001.sorted.bam,2024-05-12,South Bay
5_20_24_PLMAY12_R1__E0000000__X00__240604_SG_WW__001,2024-05-12,Point Loma
5_20_24_PLMAY12_R1__E0000000__X00__240604_SG_WW__001.sorted.bam,2024-05-12,Point Loma
5_20_24_PLMAY12_R1__E0000000__X00__240525_NextSeq_WW__001.sorted.bam,2024-05-12,Point Loma
5_20_24_PLMAY12_R1__E0000000__X00__240525_NextSeq_WW__001,2024-05-12,Point Loma
5_20_24_PLMAY13_R2__E0000000__X00__240525_NextSeq_WW__001.sorted.bam,2024-05-13,Point Loma
5_20_24_ENCMAY13_R1__E0000000__X00__240525_NextSeq_WW__001.sorted.bam,2024-05-13,Encina
5_20_24_ENCMAY13_R1__E0000000__X00__240525_NextSeq_WW__001,2024-05-13,Encina
5_20_24_PLMAY13_R2__E0000000__X00__240604_SG_WW__001,2024-05-13,Point Loma
5_20_24_PLMAY13_R2__E0000000__X00__240604_SG_WW__001.sorted.bam,2024-05-13,Point Loma
5_20_24_ENCMAY13_R1__E0000000__X00__240604_SG_WW__001,2024-05-13,Encina
5_20_24_ENCMAY13_R1__E0000000__X00__240604_SG_WW__001.sorted.bam,2024-05-13,Encina
5_20_24_PLMAY13_R2__E0000000__X00__240525_NextSeq_WW__001,2024-05-13,Point Loma
5_20_24_ENCMAY14_R1__E0000000__X00__240525_NextSeq_WW__001,2024-05-14,Encina
5_20_24_PLMAY14_R1__E0000000__X00__240525_NextSeq_WW__001.sorted.bam,2024-05-14,Point Loma
5_20_24_ENCMAY14_R1__E0000000__X00__240525_NextSeq_WW__001.sorted.bam,2024-05-14,Encina
5_20_24_ENCMAY14_R1__E0000000__X00__240604_SG_WW__001,2024-05-14,Encina
5_20_24_PLMAY14_R1__E0000000__X00__240525_NextSeq_WW__001,2024-05-14,Point Loma
5_20_24_PLMAY14_R1__E0000000__X00__240604_SG_WW__001.sorted.bam,2024-05-14,Point Loma
5_20_24_ENCMAY14_R1__E0000000__X00__240604_SG_WW__001.sorted.bam,2024-05-14,Encina
5_20_24_PLMAY14_R1__E0000000__X00__240604_SG_WW__001,2024-05-14,Point Loma
5_20_24_ENCMAY15_R1__E0000000__X00__240604_SG_WW__001.sorted.bam,2024-05-15,Encina
5_20_24_ENCMAY15_R1__E0000000__X00__240604_SG_WW__001,2024-05-15,Encina
5_20_24_PLMAY15_R1__E0000000__X00__240604_SG_WW__001,2024-05-15,Point Loma
5_20_24_PLMAY15_R1__E0000000__X00__240604_SG_WW__001.sorted.bam,2024-05-15,Point Loma
5_20_24_ENCMAY15_R1__E0000000__X00__240525_NextSeq_WW__001.sorted.bam,2024-05-15,Encina
5_20_24_PLMAY15_R1__E0000000__X00__240525_NextSeq_WW__001.sorted.bam,2024-05-15,Point Loma
5_20_24_PLMAY15_R1__E0000000__X00__240525_NextSeq_WW__001,2024-05-15,Point Loma
5_20_24_ENCMAY15_R1__E0000000__X00__240525_NextSeq_WW__001,2024-05-15,Encina
5_20_24_SBMAY19_R1__E0000000__X00__240525_NextSeq_WW__001.sorted.bam,2024-05-19,South Bay
05_28_24_PLMAY19_R1__E0000000__X00__240624_1_SG_WW__001.sorted.bam,2024-05-19,Point Loma
05_28_24_PLMAY19_R1__E0000000__X00__240624_1_SG_WW__001,2024-05-19,Point Loma
5_20_24_SBMAY19_R1__E0000000__X00__240525_NextSeq_WW__001,2024-05-19,South Bay
5_20_24_SBMAY19_R1__E0000000__X00__240604_SG_WW__001,2024-05-19,South Bay
5_20_24_SBMAY19_R1__E0000000__X00__240604_SG_WW__001.sorted.bam,2024-05-19,South Bay
05_28_24_PLMAY20_R1__E0000000__X00__240624_1_SG_WW__001.sorted.bam,2024-05-20,Point Loma
05_28_24_PLMAY20_R1__E0000000__X00__240624_1_SG_WW__001,2024-05-20,Point Loma
05_28_24_PLMAY21_R1__E0000000__X00__240624_1_SG_WW__001,2024-05-21,Point Loma
05_28_24_SBMAY21_R2__E0000000__X00__240624_1_SG_WW__001.sorted.bam,2024-05-21,South Bay
05_28_24_SBMAY21_R2__E0000000__X00__240624_1_SG_WW__001,2024-05-21,South Bay
05_28_24_PLMAY21_R1__E0000000__X00__240624_1_SG_WW__001.sorted.bam,2024-05-21,Point Loma
05_28_24_PLMAY22_R1__E0000000__X00__240624_1_SG_WW__001.sorted.bam,2024-05-22,Point Loma
05_28_24_PLMAY22_R1__E0000000__X00__240624_1_SG_WW__001,2024-05-22,Point Loma
05_28_24_SBMAY23_R1__E0000000__X00__240624_1_SG_WW__001.sorted.bam,2024-05-23,South Bay
05_28_24_SBMAY23_R1__E0000000__X00__240624_1_SG_WW__001,2024-05-23,South Bay
05_28_24_ENCMAY24_R1__E0000000__X00__240624_1_SG_WW__001.sorted.bam,2024-05-24,Encina
05_28_24_ENCMAY24_R1__E0000000__X00__240624_1_SG_WW__001,2024-05-24,Encina
06_03_24_PLMAY26_R1__E0000000__X00__240624_2_SG_WW__001,2024-05-26,Point Loma
06_03_24_PLMAY26_R1__E0000000__X00__240624_2_SG_WW__001.sorted.bam,2024-05-26,Point Loma
05_28_24_ENCMAY27_R2__E0000000__X00__240624_1_SG_WW__001.sorted.bam,2024-05-27,Encina
06_03_24_PLMAY27_R2__E0000000__X00__240624_2_SG_WW__001,2024-05-27,Point Loma
05_28_24_ENCMAY27_R2__E0000000__X00__240624_1_SG_WW__001,2024-05-27,Encina
06_03_24_PLMAY27_R2__E0000000__X00__240624_2_SG_WW__001.sorted.bam,2024-05-27,Point Loma
06_03_24_ENCMAY28_R1__E0000000__X00__240624_2_SG_WW__001,2024-05-28,Encina
06_03_24_SBMAY28_R2__E0000000__X00__240624_2_SG_WW__001,2024-05-28,South Bay
06_03_24_PLMAY28_R2__E0000000__X00__240624_2_SG_WW__001,2024-05-28,Point Loma
06_03_24_PLMAY28_R2__E0000000__X00__240624_2_SG_WW__001.sorted.bam,2024-05-28,Point Loma
06_03_24_ENCMAY28_R1__E0000000__X00__240624_2_SG_WW__001.sorted.bam,2024-05-28,Encina
06_03_24_SBMAY28_R2__E0000000__X00__240624_2_SG_WW__001.sorted.bam,2024-05-28,South Bay
06_03_24_PLMAY29_R2__E0000000__X00__240624_2_SG_WW__001,2024-05-29,Point Loma
06_03_24_PLMAY29_R2__E0000000__X00__240624_2_SG_WW__001.sorted.bam,2024-05-29,Point Loma
06_03_24_ENCMAY31_R1__E0000000__X00__240624_2_SG_WW__001.sorted.bam,2024-05-31,Encina
06_03_24_ENCMAY31_R1__E0000000__X00__240624_2_SG_WW__001,2024-05-31,Encina
06_03_24_SBJUN02_R2__E0000000__X00__240624_2_SG_WW__001,2024-06-02,South Bay
06_10_24_PLJUN02_R2__E0000000__X00__240624_4_SG_WW__001.sorted.bam,2024-06-02,Point Loma
06_10_24_PLJUN02_R2__E0000000__X00__240624_4_SG_WW__001,2024-06-02,Point Loma
06_03_24_SBJUN02_R2__E0000000__X00__240624_2_SG_WW__001.sorted.bam,2024-06-02,South Bay
06_10_24_PLJUN03_R1__E0000000__X00__240624_4_SG_WW__001.sorted.bam,2024-06-03,Point Loma
06_10_24_PLJUN03_R1__E0000000__X00__240624_4_SG_WW__001,2024-06-03,Point Loma
06_10_24_SBJUN04_R1__E0000000__X00__240624_4_SG_WW__001,2024-06-04,South Bay
06_10_24_ENCJUN04_R2__E0000000__X00__240624_4_SG_WW__001,2024-06-04,Encina
06_10_24_PLJUN04_R1__E0000000__X00__240624_4_SG_WW__001.sorted.bam,2024-06-04,Point Loma
06_10_24_ENCJUN04_R2__E0000000__X00__240624_4_SG_WW__001.sorted.bam,2024-06-04,Encina
06_10_24_PLJUN04_R1__E0000000__X00__240624_4_SG_WW__001,2024-06-04,Point Loma
06_10_24_SBJUN04_R1__E0000000__X00__240624_4_SG_WW__001.sorted.bam,2024-06-04,South Bay
06_10_24_PLJUN05_R1__E0000000__X00__240624_4_SG_WW__001.sorted.bam,2024-06-05,Point Loma
06_10_24_PLJUN05_R1__E0000000__X00__240624_4_SG_WW__001,2024-06-05,Point Loma
06_10_24_ENCJUN05_R2__E0000000__X00__240624_4_SG_WW__001.sorted.bam,2024-06-05,Encina
06_10_24_ENCJUN05_R2__E0000000__X00__240624_4_SG_WW__001,2024-06-05,Encina
06_10_24_SBJUN09_R1__E0000000__X00__240624_4_SG_WW__001,2024-06-09,South Bay
06_17_24_PLJUN09_R2__E0000000__X00__240627_1_SG_WW__001.sorted.bam,2024-06-09,Point Loma
06_17_24_PLJUN09_R2__E0000000__X00__240627_1_SG_WW__001,2024-06-09,Point Loma
06_10_24_SBJUN09_R1__E0000000__X00__240624_4_SG_WW__001.sorted.bam,2024-06-09,South Bay
06_17_24_ENCJUN10_R2__E0000000__X00__240627_1_SG_WW__001,2024-06-10,Encina
06_17_24_ENCJUN10_R2__E0000000__X00__240627_1_SG_WW__001.sorted.bam,2024-06-10,Encina
06_17_24_PLJUN10_R2__E0000000__X00__240627_1_SG_WW__001.sorted.bam,2024-06-10,Point Loma
06_17_24_PLJUN10_R2__E0000000__X00__240627_1_SG_WW__001,2024-06-10,Point Loma
06_17_24_PLJUN11_R2__E0000000__X00__240627_1_SG_WW__001.sorted.bam,2024-06-11,Point Loma
06_17_24_PLJUN11_R2__E0000000__X00__240627_1_SG_WW__001,2024-06-11,Point Loma
06_17_24_ENCJUN12_R1__E0000000__X00__240627_1_SG_WW__001,2024-06-12,Encina
06_17_24_PLJUN12_R1__E0000000__X00__240627_1_SG_WW__001.sorted.bam,2024-06-12,Point Loma
06_17_24_PLJUN12_R1__E0000000__X00__240627_1_SG_WW__001,2024-06-12,Point Loma
06_17_24_ENCJUN12_R1__E0000000__X00__240627_1_SG_WW__001.sorted.bam,2024-06-12,Encina
06_18_24_SBJUN13_R2__E0000000__X00__240627_1_SG_WW__001.sorted.bam,2024-06-13,South Bay
06_18_24_SBJUN13_R2__E0000000__X00__240627_1_SG_WW__001,2024-06-13,South Bay
06_24_24_PLJUN16_R2__E0000000__X00__240627_2_SG_WW__001,2024-06-16,Point Loma
06_17_24_SBJUN16_R1__E0000000__X00__240627_1_SG_WW__001.sorted.bam,2024-06-16,South Bay
06_17_24_SBJUN16_R1__E0000000__X00__240627_1_SG_WW__001,2024-06-16,South Bay
06_24_24_PLJUN16_R2__E0000000__X00__240627_2_SG_WW__001.sorted.bam,2024-06-16,Point Loma
06_24_24_PLJUN17_R2__E0000000__X00__240627_2_SG_WW__001.sorted.bam,2024-06-17,Point Loma
06_24_24_PLJUN17_R2__E0000000__X00__240627_2_SG_WW__001,2024-06-17,Point Loma
06_24_24_PLJUN18_R2__E0000000__X00__240627_2_SG_WW__001,2024-06-18,Point Loma
06_24_24_PLJUN18_R2__E0000000__X00__240627_2_SG_WW__001.sorted.bam,2024-06-18,Point Loma
06_24_24_PLJUN19_R1__E0000000__X00__240627_2_SG_WW__001,2024-06-19,Point Loma
06_24_24_ENCJUN19_R2__E0000000__X00__240627_2_SG_WW__001.sorted.bam,2024-06-19,Encina
06_24_24_ENCJUN19_R2__E0000000__X00__240627_2_SG_WW__001,2024-06-19,Encina
06_24_24_PLJUN19_R1__E0000000__X00__240627_2_SG_WW__001.sorted.bam,2024-06-19,Point Loma
06_24_24_ENCJUN20_R2__E0000000__X00__240627_2_SG_WW__001.sorted.bam,2024-06-20,Encina
06_24_24_SBJUN20_R2__E0000000__X00__240627_2_SG_WW__001.sorted.bam,2024-06-20,South Bay
06_24_24_SBJUN20_R2__E0000000__X00__240627_2_SG_WW__001,2024-06-20,South Bay
06_24_24_ENCJUN20_R2__E0000000__X00__240627_2_SG_WW__001,2024-06-20,Encina
07_01_24_PLJUN23_R2__E0000000__X00__240712_1_SG_WW__001.sorted.bam,2024-06-23,Point Loma
06_24_24_SBJUN23_R2__E0000000__X00__240627_2_SG_WW__001.sorted.bam,2024-06-23,South Bay
06_24_24_SBJUN23_R2__E0000000__X00__240627_2_SG_WW__001,2024-06-23,South Bay
07_01_24_PLJUN23_R2__E0000000__X00__240712_1_SG_WW__001,2024-06-23,Point Loma
07_01_24_PLJUN24_R1__E0000000__X00__240712_1_SG_WW__001,2024-06-24,Point Loma
07_01_24_PLJUN24_R1__E0000000__X00__240712_1_SG_WW__001.sorted.bam,2024-06-24,Point Loma
07_01_24_SBJUN25_R1__E0000000__X00__240712_1_SG_WW__001,2024-06-25,South Bay
07_01_24_PLJUN25_R2__E0000000__X00__240712_1_SG_WW__001.sorted.bam,2024-06-25,Point Loma
07_01_24_PLJUN25_R2__E0000000__X00__240712_1_SG_WW__001,2024-06-25,Point Loma
07_01_24_SBJUN25_R1__E0000000__X00__240712_1_SG_WW__001.sorted.bam,2024-06-25,South Bay
07_01_24_ENCJUN26_R2__E0000000__X00__240712_1_SG_WW__001.sorted.bam,2024-06-26,Encina
07_01_24_ENCJUN26_R2__E0000000__X00__240712_1_SG_WW__001,2024-06-26,Encina
07_01_24_PLJUN26_R1__E0000000__X00__240712_1_SG_WW__001.sorted.bam,2024-06-26,Point Loma
07_01_24_PLJUN26_R1__E0000000__X00__240712_1_SG_WW__001,2024-06-26,Point Loma
07_01_24_SBJUN27_R2__E0000000__X00__240712_1_SG_WW__001,2024-06-27,South Bay
07_01_24_SBJUN27_R2__E0000000__X00__240712_1_SG_WW__001.sorted.bam,2024-06-27,South Bay
07_01_24_ENCJUN28_R2__E0000000__X00__240712_1_SG_WW__001,2024-06-28,Encina
07_01_24_ENCJUN28_R2__E0000000__X00__240712_1_SG_WW__001.sorted.bam,2024-06-28,Encina
07_08_24_PLJUN30_R1__E0000000__X00__240712_2_SG_WW__001.sorted.bam,2024-06-30,Point Loma
07_08_24_PLJUN30_R1__E0000000__X00__240712_2_SG_WW__001,2024-06-30,Point Loma
07_08_24_PLJUL01_R1__E0000000__X00__240712_2_SG_WW__001.sorted.bam,2024-07-01,Point Loma
07_08_24_PLJUL01_R1__E0000000__X00__240712_2_SG_WW__001,2024-07-01,Point Loma
07_08_24_PLJUL03_R2__E0000000__X00__240712_2_SG_WW__001,2024-07-03,Point Loma
07_08_24_ENCJUL03_R2__E0000000__X00__240712_2_SG_WW__001.sorted.bam,2024-07-03,Encina
07_08_24_PLJUL03_R2__E0000000__X00__240712_2_SG_WW__001.sorted.bam,2024-07-03,Point Loma
07_08_24_ENCJUL03_R2__E0000000__X00__240712_2_SG_WW__001,2024-07-03,Encina
07_08_24_SBJUL04_R2__E0000000__X00__240712_2_SG_WW__001.sorted.bam,2024-07-04,South Bay
07_08_24_PLJUL04_R1__E0000000__X00__240712_2_SG_WW__001.sorted.bam,2024-07-04,Point Loma
07_08_24_PLJUL04_R1__E0000000__X00__240712_2_SG_WW__001,2024-07-04,Point Loma
07_08_24_SBJUL04_R2__E0000000__X00__240712_2_SG_WW__001,2024-07-04,South Bay
07_08_24_ENCJUL05_R1__E0000000__X00__240712_2_SG_WW__001.sorted.bam,2024-07-05,Encina
07_08_24_ENCJUL05_R1__E0000000__X00__240712_2_SG_WW__001,2024-07-05,Encina
07_08_24_SBJUL07_R2__E0000000__X00__240712_2_SG_WW__001,2024-07-07,South Bay
07_15_24_PLJUL07_R1__E0000000__X00__240718_SG_WW__001,2024-07-07,Point Loma
07_15_24_PLJUL07_R1__E0000000__X00__240718_SG_WW__001.sorted.bam,2024-07-07,Point Loma
07_08_24_SBJUL07_R2__E0000000__X00__240712_2_SG_WW__001.sorted.bam,2024-07-07,South Bay
07_15_24_PLJUL08_R2__E0000000__X00__240718_SG_WW__001,2024-07-08,Point Loma
07_15_24_PLJUL08_R2__E0000000__X00__240718_SG_WW__001.sorted.bam,2024-07-08,Point Loma
07_15_24_PLJUL09_R1__E0000000__X00__240718_SG_WW__001,2024-07-09,Point Loma
07_15_24_PLJUL09_R1__E0000000__X00__240718_SG_WW__001.sorted.bam,2024-07-09,Point Loma
07_15_24_ENCJUL09_R2__E0000000__X00__240718_SG_WW__001.sorted.bam,2024-07-09,Encina
07_15_24_ENCJUL09_R2__E0000000__X00__240718_SG_WW__001,2024-07-09,Encina
07_15_24_ENCJUL10_R1__E0000000__X00__240718_SG_WW__001.sorted.bam,2024-07-10,Encina
07_15_24_PLJUL10_R1__E0000000__X00__240718_SG_WW__001,2024-07-10,Point Loma
07_15_24_PLJUL10_R1__E0000000__X00__240718_SG_WW__001.sorted.bam,2024-07-10,Point Loma
07_15_24_ENCJUL10_R1__E0000000__X00__240718_SG_WW__001,2024-07-10,Encina
07_15_24_SBJUL11_R1__E0000000__X00__240718_SG_WW__001.sorted.bam,2024-07-11,South Bay
07_15_24_SBJUL11_R1__E0000000__X00__240718_SG_WW__001,2024-07-11,South Bay
07_15_24_SBJUL14_R2__E0000000__X00__240718_SG_WW__001,2024-07-14,South Bay
07_15_24_SBJUL14_R2__E0000000__X00__240718_SG_WW__001.sorted.bam,2024-07-14,South Bay
07_22_24_PLJUL14_R1__E0000000__X00__240729_SG_WW__001,2024-07-14,Point Loma
07_22_24_PLJUL14_R1__E0000000__X00__240729_SG_WW__001.sorted.bam,2024-07-14,Point Loma
07_22_24_PLJUL15_R2__E0000000__X00__240729_SG_WW__001.sorted.bam,2024-07-15,Point Loma
07_22_24_PLJUL15_R2__E0000000__X00__240729_SG_WW__001,2024-07-15,Point Loma
07_22_24_PLJUL16_R2__E0000000__X00__240729_SG_WW__001.sorted.bam,2024-07-16,Point Loma
07_22_24_PLJUL16_R2__E0000000__X00__240729_SG_WW__001,2024-07-16,Point Loma
07_22_24_ENCJUL17_R1__E0000000__X00__240729_SG_WW__001,2024-07-17,Encina
07_22_24_ENCJUL17_R1__E0000000__X00__240729_SG_WW__001.sorted.bam,2024-07-17,Encina
07_22_24_PLJUL17_R2__E0000000__X00__240729_SG_WW__001,2024-07-17,Point Loma
07_22_24_PLJUL17_R2__E0000000__X00__240729_SG_WW__001.sorted.bam,2024-07-17,Point Loma
07_22_24_ENCJUL18_R1__E0000000__X00__240729_SG_WW__001,2024-07-18,Encina
